Year,Month,PublicHealthRegion,County,Animal,TestResult
2023,January,5,Angelina,Dog,Negative
2023,January,5,Angelina,Dog,Negative
2023,January,5,Angelina,Dog,Negative
2023,January,11,Aransas,Dog,Negative
2023,January,11,Aransas,Cat,Negative
2023,January,11,Aransas,Cat,Negative
2023,January,6,Austin,Equine,Negative
2023,January,7,Bastrop,Bat,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Dog,Negative
2023,January,7,Bastrop,Cat,Negative
2023,January,7,Bell,Skunk,Negative
2023,January,7,Bell,Dog,Negative
2023,January,7,Bell,Dog,Negative
2023,January,7,Bell,Dog,Negative
2023,January,7,Bell,Dog,Negative
2023,January,7,Bell,Dog,Negative
2023,January,7,Bell,Dog,Negative
2023,January,7,Bell,Cat,Negative
2023,January,7,Bell,Cat,Negative
2023,January,7,Bell,Cat,Negative
2023,January,7,Bell,Cat,Negative
2023,January,7,Bell,Cat,Negative
2023,January,7,Bell,Cat,Negative
2023,January,8,Bexar,Skunk,Negative
2023,January,8,Bexar,Skunk,Negative
2023,January,8,Bexar,Skunk,Negative
2023,January,8,Bexar,Fox,Negative
2023,January,8,Bexar,Bat,Negative
2023,January,8,Bexar,Bat,Negative
2023,January,8,Bexar,Bat,Negative
2023,January,8,Bexar,Bat,Negative
2023,January,8,Bexar,Bat,Negative
2023,January,8,Bexar,Bat,Negative
2023,January,8,Bexar,Bat,Negative
2023,January,8,Bexar,Raccoon,Negative
2023,January,8,Bexar,Raccoon,Negative
2023,January,8,Bexar,Raccoon,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Dog,Negative
2023,January,8,Bexar,Cat,Negative
2023,January,8,Bexar,Cat,Negative
2023,January,8,Bexar,Cat,Negative
2023,January,8,Bexar,Cat,Negative
2023,January,8,Bexar,Cat,Negative
2023,January,7,Bosque,Cat,Negative
2023,January,7,Bosque,Cat,Negative
2023,January,6,Brazoria,Bat,Positive
2023,January,6,Brazoria,Bat,Negative
2023,January,6,Brazoria,Bat,Negative
2023,January,6,Brazoria,Bat,Negative
2023,January,6,Brazoria,Bat,Negative
2023,January,6,Brazoria,Bat,Negative
2023,January,6,Brazoria,Bat,Negative
2023,January,6,Brazoria,Bat,Negative
2023,January,6,Brazoria,Dog,Negative
2023,January,6,Brazoria,Dog,Negative
2023,January,6,Brazoria,Cat,Negative
2023,January,6,Brazoria,Cat,Negative
2023,January,7,Brazos,Bat,Negative
2023,January,7,Brazos,Dog,Negative
2023,January,7,Brazos,Dog,Negative
2023,January,7,Brazos,Dog,Negative
2023,January,7,Brazos,Dog,Negative
2023,January,7,Brazos,Dog,Negative
2023,January,7,Brazos,Cat,Negative
2023,January,7,Brazos,Cat,Negative
2023,January,7,Brazos,Other,Negative
2023,January,2,Brown,Raccoon,Negative
2023,January,7,Burleson,Raccoon,Negative
2023,January,7,Burnet,Cat,Negative
2023,January,7,Burnet,Other,Negative
2023,January,7,Caldwell,Cat,Negative
2023,January,11,Cameron,Bat,Negative
2023,January,11,Cameron,Cat,Negative
2023,January,4,Camp,Dog,Negative
2023,January,4,Cass,Other,Negative
2023,January,6,Chambers,Cat,Negative
2023,January,2,Coleman,Cat,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Dog,Negative
2023,January,3,Collin,Cat,Negative
2023,January,3,Collin,Cat,Negative
2023,January,3,Collin,Cat,Negative
2023,January,3,Collin,Cat,Negative
2023,January,3,Collin,Cat,Negative
2023,January,3,Collin,Cat,Negative
